chunk_id,original_text (hi),translated_text (en)
1,अगर आपको एक बेहतर लीडर बनना है बहुत कम समय में राजमणि क्लिप चैनल,"If you have to become a better leader, Rajmani Clip Channel in a very short time"
2,टाइप कर लो क्योंकि यहां पर हम इंडिया के बेस्ट लीडर्स आपके सामने लेकर आते हैं,Type because here we bring the best leaders of India before you
3,यह पार्टी विजडम,This party wisdom
4,कल मैं कोई इतना ज्यादा बड़ा या एक्सपीरियंस,Yesterday I have such a big or experience
5,बहुत ज्यादा विजडम दे सके और मुझे ऐसा लगता है कि कुछ पॉइंट्स है,Could give too much wisdom and I feel that there are some points
6,जो मैंने सीखे ऑब्जर्व करें मेरे आस पास जो लोग हैं और जो मेरे साथ पॉडकास्ट पर लोग आते हैं,"Whatever I have learned to observe, people around me and people who come to podcast with me"
7,सबसे मुझे कुछ विजडम मिली है क्या उन सब को,I have got some wisdom most of them
8,करके साइलेंटली मैंने कुछ मेरी लाइफ में इंप्लीमेंट किया है वह मेरी एक छोटा सा,By doing silently I have implemented something in my life
9,इस दिन का खजाना बन चुका है जिसने मेरी लाइफ को बहुत बैटर किया है और,The treasure of this day has become a very batter of my life and
10,वही शेयर करना चाहता हूं आप लोगों के साथ यह पॉइंट है नीड्स वर्सिज वांट्स,I want to share the same point with you guys Needs Verses Wants
11,हमारी पेरेंट्स की जनरेशन को एक चीज बहुत अच्छे से आती है जो हमें नहीं आती,The generation of our parents knows one thing very well that we do not know
12,वह अपनी नींद वांट्स को डिफरेंटशिएट करना जब,When she is to differentiate her sleeping vendors
13,फोन ले लो आपका बिजनेस बहुत बढ़ेगा सिर्फ आपके बिजनेस के लिए अच्छा होगा,"Take the phone, your business will increase a lot, only it will be good for your business"
14,बहुत ही नहीं यार अभी जरूरत नहीं है क्या,"Not much, friend is not needed yet"
15,प्रेजेंटेशन वह मुझे बता देते हैं कि,Presentation he tells me that
16,जरूरत क्या है और उनका क्या जरूरत नहीं है लाइफ में उनके लिए क्या अपग्रेड है,What is the need and what they do not need is what is upgrade for them in life
17,और क्या इंपॉर्टेंट है और यह ना हम लोगों की जनरेशन को इतने अच्छे से,And is it important and not our generation so well
18,हम लोगों को क्या लगता है कि यार मेरे पास तो अच्छा फोन ही नहीं है लेटेस्ट आईफोन नहीं है,"What do we think that I do not have a good phone, I don't have the latest iPhone"
19,अकाउंटेंट नहीं बन सकता मेरे पास ना एकदम फुलफिल्ड सेटअप नहीं है पीसी का,"Accountant cannot be made, I do not have a full -fledged setup of PC"
20,बढ़िया लैपटॉप नहीं है तो मैं एडिटिंग स्टार्ट नहीं कर सकता बाइक चाहिए नहीं तो मैं ऑफिस कैसे जाऊंगा,"If I do not have a good laptop, I can't start editing, otherwise how will I go to office"
21,इतनी छोटी छोटी चीजों पर हम कंप्लेंट करते हैं और हमें लगता है कि यह अगर नहीं होगा,We comply on such small things and we think it will not happen
22,तो हम आगे का काम कैसे करेंगे और वह सारी चीज वांट्स होती है नीड ने,So how will we do ahead work and all that thing is the need
23,तो हमें हमारी पेरेंट्स की जनरेशन थी सीखना चाहिए की जरूरत को और,So we should learn the generation of our parents and the need of the need and
24,हाथों को डिफरेंटशिएट कैसे करें नीड्स क्या होती है वांट एक बड़ा सा पेपर,"How to differentiate hands to hands, what is a big paper"
25,और उसमें एक साइड लिखो वांट्स कौन सी चीज है जो एकदम,"And write a side in it, what is the thing that is absolutely"
26,दूरी है तुम्हें लाइफ में आगे बढ़ाने में जो तुम्हें चाहिए ही चाहिए,The distance is you need to pursue you in life
27,जो होनी चाहिए नहीं तो उसके बिना कुछ हो नहीं पाएगा एंड थें एक साइड वांट लिखो,"Whatever should happen, otherwise nothing will be done without it and write a side want"
28,यह होता तो बेटर होता कौन कौन सी चीज है कि अगर यह होता तो बहुत बैटर होता,"If it had been there, what would have been the thing that it would have been very batter"
29,इन दोनों के बीच में डिफरेंटशिएट करना सीखो मैं मेरी लिस्ट लगता हूं तुम उसे लिस्ट,"Learn to differentiate between these two, I think my list is my list"
30,नेक्स्ट पॉइंट है,Next point is
31,रेड फ्लैग हर साल हम क्या करते हैं हम दूसरों में रेड,Red Flag what we do every year we red in others
32,किसी लड़की में यह रेड फ्लैग है इस लड़के में यह रेड फ्लैग है इसमें,"This is a red flag in a girl, this boy has this red flag in it"
33,परम खुद के अंदर क्या,What is the ultimate inside
34,यह तो कभी देखते ही नहीं है तो इस साल डिसाइड कर लो कि हम दूसरों के,"If this is never seen, then decide this year that we"
35,अरे मैं गॉसिप करने से ज्यादा या दूसरों के बारे में रेड फ्लैग निकलने से ज्यादा,"Hey, I am more than gossip or more about others, more than coming out"
36,हम खुद के अंदर रिफ्लेक्स देखेंगे और उसको सुधरेंगे उन रेड फ्लैग,We will see reflexes inside ourselves and will improve them red flags
37,मैं जब भी किसी लड़ता हूं मेरे,Whenever I fight my
38,बंद करो,Stop
39,जब भी हम लड़ाई करते 10 मिनट होती हमारी अरगुमेंट होती है डिस्कशन हो तो इतने मतलब क्या,"Whenever we fight for 10 minutes, we have a discussion, then what is the meaning"
40,फिर ना एक बार जब मैं लड़ रहा था मेरे भाई से उसने मुझे बोला,Then not once I was fighting my brother he told me
41,खुद को देखा है क्या तू क्या कर रहा है मुझे रिलाइज हुआ,Have you seen yourself what you are doing
42,मुझ में यह रेड फ्लैग मेरा है कि मैं सामने वाले को सुनता ही नहीं हूं,This red flag in me is mine that I do not listen to the front
43,और उसको समझने की कोशिश ही नहीं करता हूं मैं भी उनका एक वॉलेट पॉइंट है मैं भी उनका वॉलेट पॉइंट,"And I do not try to understand it, I also have a wallet point, I also have his wallet point"
44,लेकिन मुझे कुछ समझाना चाह रहे हैं पर मैं कभी रुक के सुनता ही नहीं था तो उसके,"But I want to explain something to me, but I never listened to stop"
45,आज से मैंने यह डिसाइड किया कि मैं खुद के रिफ्लेक्स देखूंगा,From today onwards I dissected that I will see my own reflex
46,मैं खुद में क्या गलत करूं वह देखेगा ताकि मैं सामने जब नेक्स्ट टाइम,What do I do in myself will see it so that I in front when next time
47,ओवरऑल सिचुएशन बेटर कर दो ना कि उसको उसे टाइम कट,Overall situations and not cut it to him
48,आगे बढ़ जाओ नेक्स्ट पॉइंट स्टार्ट टेकिंग स्मॉल डिसीजंस,Go ahead Next Point Start Teching Small Diseases
49,लाइफ में डिसीजंस नहीं ले पाते हमको ना कभी स्कूल ने सिखाया ना कॉलेज,Neither school taught us nor college in life
50,हमारे आसपास की लोगों ने सिखाया की डिसाइड कैसे किया जाता है,People around us taught how to decide
51,ब्रायन को ट्रेन करके सिखाया जाता है हमारी लाइफ में जब भी बड़े डिसीजन होते हैं हम बड़े कंफ्यूज,Brian is taught by train
52,हमें पता ही नहीं की यार यह सही होगा नहीं होगा लेना है नहीं लेना क्या करना है पता नहीं,"We do not know that man will not be right, it will not be right to take what to do not know what to do"
