chunk_id,original_text (en),translated_text (hi)
4,fear when you had to speak in public,डर जब आपको सार्वजनिक रूप से बोलना था
5,stage from the room for the people or maybe you had,लोगों के लिए कमरे से मंच या शायद आपके पास था
6,presentation from your coworkers or maybe you've been in a room for,अपने सहकर्मियों से प्रस्तुति या शायद आप एक कमरे में रहे हैं
7,who you are where you from and what you do,आप कौन हैं जहां आप से हैं और आप क्या करते हैं
8,to be afraid to speak in,में बोलने से डरना
9,for me I grow up the tremendous fear public speaking,मेरे लिए मैं जबरदस्त डर सार्वजनिक बोल रहा हूँ
10,am I earliest memory of having a fear to speak happen in,क्या मैं बोलने के लिए एक डर होने की जल्द से जल्द याद कर रहा हूँ
11,a teacher is going around the room calling on students to read,एक शिक्षक छात्रों को पढ़ने के लिए बुलाने के लिए कमरे में जा रहा है
12,please don't call me please don't call me please don't call,कृपया मुझे फोन न करें कृपया मुझे फोन न करें कृपया कॉल न करें
13,Shikhar Sammelan,शिखर समेलन
15,please don't call ammi please don't call mummy,कृपया अम्मी को फोन न करें कृपया मम्मी को फोन न करें
16,waveguide it came over my body,वेवगाइड यह मेरे शरीर पर आया था
17,and the more I try to get it,और जितना अधिक मैं इसे प्राप्त करने की कोशिश करता हूं
18,the vertical laughing at me,मुझ पर ऊर्ध्वाधर हंसी
19,faking I,फ़ेकिंग मैं
21,this isn't for you you just need to stay quiet,यह आपके लिए नहीं है आपको बस चुप रहने की आवश्यकता है
22,write chapter summary for years to come fast my fresh,मेरे ताजा तेजी से आने के लिए वर्षों के लिए अध्याय सारांश लिखें
23,I had to take a speech class what I got to give my,मुझे एक भाषण वर्ग लेना था जो मुझे देने के लिए मिला था
24,start the music ID came over my body again,शुरू करें संगीत आईडी फिर से मेरे शरीर पर आ गई
25,my heart started beating out my chest my dream11 was racing I throw,"मेरे दिल ने मेरी छाती को धड़कना शुरू कर दिया, मेरा सपना 11 मैं दौड़ रहा था मैं फेंक रहा था"
26,my boss yesterday,मेरे बॉस कल
27,my hair is started shaking when I try to speak my voice,जब मैं अपनी आवाज बोलने की कोशिश करता हूं तो मेरे बाल हिलने लगे हैं
28,can I help this way of heat come over my body I feel,क्या मैं अपने शरीर के ऊपर गर्मी के इस तरीके से मदद कर सकता हूं जो मुझे लगता है
30,further according to my mind you're not a speaker you just need to give this up,इसके अलावा मेरे दिमाग के अनुसार आप एक वक्ता नहीं हैं जिन्हें आपको बस इसे देने की आवश्यकता है
31,I can change you to believe that for years public speaking is,मैं आपको यह विश्वास करने के लिए बदल सकता हूं कि वर्षों से सार्वजनिक बोल रहा है
32,over the years I can feeling is feeling,वर्षों से मैं महसूस कर सकता हूं
33,I have a message to share I need to,मेरे पास एक संदेश है जो मुझे साझा करने की आवश्यकता है
34,I can make a bigger impact let me,मैं एक बड़ा प्रभाव डाल सकता हूँ मुझे
35,the first key that help me overcome my fear of public speaking with the realisation,पहली कुंजी जो मुझे जनता के बोलने के डर को दूर करने में मदद करती है
36,everyone has a message to share each and every one of you,हर किसी के पास आप में से प्रत्येक को साझा करने के लिए एक संदेश है
37,has a message inside of you that the world is waiting to hear,आपके अंदर एक संदेश है कि दुनिया सुनने के लिए इंतजार कर रही है
38,in your message matters the baby you like me for years,आपके संदेश में वह बच्चा है जिसे आप मुझे पसंद करते हैं
39,I wanted what can I share the,मैं चाहता था कि मैं क्या साझा कर सकता हूं
